,FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA,DOSIS_3
9518,15JUL2021:00:00:00,71 a 80,M,Sinopharm,Público,4,29,,0.0
9519,15JUL2021:00:00:00,71 a 80,M,Sputnik,Privado,0,128,,0.0
9520,15JUL2021:00:00:00,71 a 80,M,Sputnik,Público,8,2391,,0.0
9525,15JUL2021:00:00:00,81 a 90,M,AstraZeneca,Público,0,11,,0.0
9526,15JUL2021:00:00:00,81 a 90,M,Sinopharm,Público,1,7,,0.0
9527,15JUL2021:00:00:00,81 a 90,M,Sputnik,Privado,0,142,,0.0
9528,15JUL2021:00:00:00,81 a 90,M,Sputnik,Público,1,648,,0.0
9533,15JUL2021:00:00:00,91 o mas,M,AstraZeneca,Público,0,4,,0.0
9534,15JUL2021:00:00:00,91 o mas,M,Sinopharm,Público,1,4,,0.0
9535,15JUL2021:00:00:00,91 o mas,M,Sputnik,Privado,0,15,,0.0
9536,15JUL2021:00:00:00,91 o mas,M,Sputnik,Público,0,100,,0.0
9543,16JUL2021:00:00:00,30 o menos,M,AstraZeneca,Público,27,0,,0.0
9544,16JUL2021:00:00:00,30 o menos,M,Sinopharm,Público,169,32,,0.0
9545,16JUL2021:00:00:00,30 o menos,M,Sputnik,Público,104,19,,0.0
9546,16JUL2021:00:00:00,30 o menos,M,Sputnik,Público nacional,2,0,,0.0
9551,16JUL2021:00:00:00,31 a 40,M,AstraZeneca,Privado,1,1,,0.0
9552,16JUL2021:00:00:00,31 a 40,M,AstraZeneca,Público,50,1,,0.0
9553,16JUL2021:00:00:00,31 a 40,M,Sinopharm,Público,195,237,,0.0
9554,16JUL2021:00:00:00,31 a 40,M,Sputnik,Público,515,46,,0.0
9555,16JUL2021:00:00:00,31 a 40,M,Sputnik,Público nacional,1,1,,0.0
9560,16JUL2021:00:00:00,41 a 50,M,AstraZeneca,Privado,2,1,,0.0
9561,16JUL2021:00:00:00,41 a 50,M,AstraZeneca,Público,38,0,,0.0
9562,16JUL2021:00:00:00,41 a 50,M,Sinopharm,Público,114,6334,,0.0
9563,16JUL2021:00:00:00,41 a 50,M,Sputnik,Privado,0,4,,0.0
9564,16JUL2021:00:00:00,41 a 50,M,Sputnik,Público,25,775,,0.0
9565,16JUL2021:00:00:00,41 a 50,M,Sputnik,Público nacional,1,0,,0.0
9570,16JUL2021:00:00:00,51 a 60,M,AstraZeneca,Privado,1,2,,0.0
9571,16JUL2021:00:00:00,51 a 60,M,AstraZeneca,Público,11,0,,0.0
9572,16JUL2021:00:00:00,51 a 60,M,Sinopharm,Público,44,253,,0.0
9573,16JUL2021:00:00:00,51 a 60,M,Sputnik,Privado,1,2,,0.0
9574,16JUL2021:00:00:00,51 a 60,M,Sputnik,Público,13,177,,0.0
9581,16JUL2021:00:00:00,61 a 70,M,AstraZeneca,Privado,0,1,,0.0
9582,16JUL2021:00:00:00,61 a 70,M,AstraZeneca,Público,3,3,,0.0
9583,16JUL2021:00:00:00,61 a 70,M,Sinopharm,Público,16,71,,0.0
9584,16JUL2021:00:00:00,61 a 70,M,Sputnik,Privado,0,13,,0.0
9585,16JUL2021:00:00:00,61 a 70,M,Sputnik,Público,4,40,,0.0
9586,16JUL2021:00:00:00,61 a 70,M,Sputnik,Público nacional,0,2,,0.0
9594,16JUL2021:00:00:00,71 a 80,M,AstraZeneca,Privado,0,1,,0.0
9595,16JUL2021:00:00:00,71 a 80,M,AstraZeneca,Público,0,4,,0.0
9596,16JUL2021:00:00:00,71 a 80,M,Sinopharm,Público,5,17,,0.0
9597,16JUL2021:00:00:00,71 a 80,M,Sputnik,Privado,0,92,,0.0
9598,16JUL2021:00:00:00,71 a 80,M,Sputnik,Público,1,3964,,0.0
9603,16JUL2021:00:00:00,81 a 90,M,AstraZeneca,Público,0,2,,0.0
9604,16JUL2021:00:00:00,81 a 90,M,Sinopharm,Público,1,6,,0.0
9605,16JUL2021:00:00:00,81 a 90,M,Sputnik,Privado,0,174,,0.0
9606,16JUL2021:00:00:00,81 a 90,M,Sputnik,Público,1,227,,0.0
9612,16JUL2021:00:00:00,91 o mas,M,Sputnik,Privado,0,25,,0.0
9613,16JUL2021:00:00:00,91 o mas,M,Sputnik,Público,0,46,,0.0
9617,17JUL2021:00:00:00,30 o menos,M,AstraZeneca,Público,1058,1,,0.0
9618,17JUL2021:00:00:00,30 o menos,M,Sinopharm,Público,277,11,,0.0
9619,17JUL2021:00:00:00,30 o menos,M,Sputnik,Público,79,7,,0.0
9623,17JUL2021:00:00:00,31 a 40,M,AstraZeneca,Público,3077,3,,1.0
9624,17JUL2021:00:00:00,31 a 40,M,Sinopharm,Público,1495,99,,0.0
9625,17JUL2021:00:00:00,31 a 40,M,Sputnik,Público,474,15,,0.0
9629,17JUL2021:00:00:00,41 a 50,M,AstraZeneca,Público,527,2,,0.0
9630,17JUL2021:00:00:00,41 a 50,M,Sinopharm,Público,413,3284,,0.0
9631,17JUL2021:00:00:00,41 a 50,M,Sputnik,Público,32,12,,0.0
9635,17JUL2021:00:00:00,51 a 60,M,AstraZeneca,Público,239,7,,0.0
9636,17JUL2021:00:00:00,51 a 60,M,Sinopharm,Público,166,351,,0.0
9637,17JUL2021:00:00:00,51 a 60,M,Sputnik,Público,19,8,,0.0
9641,17JUL2021:00:00:00,61 a 70,M,AstraZeneca,Público,71,42,,0.0
9642,17JUL2021:00:00:00,61 a 70,M,Sinopharm,Público,53,64,,0.0
9643,17JUL2021:00:00:00,61 a 70,M,Sputnik,Público,10,9,,0.0
9648,17JUL2021:00:00:00,71 a 80,M,AstraZeneca,Público,16,40,,0.0
9649,17JUL2021:00:00:00,71 a 80,M,Sinopharm,Público,6,48,,0.0
9650,17JUL2021:00:00:00,71 a 80,M,Sputnik,Privado,0,1,,0.0
9651,17JUL2021:00:00:00,71 a 80,M,Sputnik,Público,1,184,,0.0
9656,17JUL2021:00:00:00,81 a 90,M,AstraZeneca,Público,6,18,,0.0
9657,17JUL2021:00:00:00,81 a 90,M,Sinopharm,Público,5,8,,0.0
9658,17JUL2021:00:00:00,81 a 90,M,Sputnik,Privado,0,2,,0.0
9659,17JUL2021:00:00:00,81 a 90,M,Sputnik,Público,0,25,,0.0
9664,17JUL2021:00:00:00,91 o mas,M,AstraZeneca,Público,1,4,,0.0
9665,17JUL2021:00:00:00,91 o mas,M,Sinopharm,Público,0,3,,0.0
9666,17JUL2021:00:00:00,91 o mas,M,Sputnik,Privado,0,1,,0.0
9667,17JUL2021:00:00:00,91 o mas,M,Sputnik,Público,0,6,,0.0
9671,18JUL2021:00:00:00,30 o menos,M,AstraZeneca,Público,3003,1,,0.0
9672,18JUL2021:00:00:00,30 o menos,M,Sinopharm,Público,8,9,,0.0
9676,18JUL2021:00:00:00,31 a 40,M,AstraZeneca,Público,2899,3,,0.0
9677,18JUL2021:00:00:00,31 a 40,M,Sinopharm,Público,11,18,,0.0
9681,18JUL2021:00:00:00,41 a 50,M,AstraZeneca,Público,705,3,,0.0
9682,18JUL2021:00:00:00,41 a 50,M,Sinopharm,Público,10,2914,,0.0
9685,18JUL2021:00:00:00,51 a 60,M,AstraZeneca,Privado,1,0,,0.0
9686,18JUL2021:00:00:00,51 a 60,M,AstraZeneca,Público,245,7,,0.0
9687,18JUL2021:00:00:00,51 a 60,M,Sinopharm,Privado,0,1,,0.0
9688,18JUL2021:00:00:00,51 a 60,M,Sinopharm,Público,6,1183,,0.0
9693,18JUL2021:00:00:00,61 a 70,M,AstraZeneca,Público,71,27,,0.0
9694,18JUL2021:00:00:00,61 a 70,M,Sinopharm,Público,1,68,,0.0
9695,18JUL2021:00:00:00,61 a 70,M,Sputnik,Público,0,1,,0.0
9699,18JUL2021:00:00:00,71 a 80,M,AstraZeneca,Público,17,19,,0.0
9700,18JUL2021:00:00:00,71 a 80,M,Sinopharm,Público,1,27,,0.0
9704,18JUL2021:00:00:00,81 a 90,M,AstraZeneca,Público,6,11,,0.0
9705,18JUL2021:00:00:00,81 a 90,M,Sinopharm,Público,0,2,,0.0
9709,18JUL2021:00:00:00,91 o mas,M,AstraZeneca,Público,2,1,,0.0
9714,19JUL2021:00:00:00,30 o menos,M,AstraZeneca,Privado,2,0,,0.0
9715,19JUL2021:00:00:00,30 o menos,M,AstraZeneca,Público,2154,2,,0.0
9716,19JUL2021:00:00:00,30 o menos,M,Sinopharm,Público,39,406,,0.0
9717,19JUL2021:00:00:00,30 o menos,M,Sputnik,Público,120,0,,0.0
9722,19JUL2021:00:00:00,31 a 40,M,AstraZeneca,Privado,2,1,,0.0
9723,19JUL2021:00:00:00,31 a 40,M,AstraZeneca,Público,500,5,,0.0
9724,19JUL2021:00:00:00,31 a 40,M,Sinopharm,Público,123,448,,0.0
9725,19JUL2021:00:00:00,31 a 40,M,Sputnik,Privado,0,2,,0.0
9726,19JUL2021:00:00:00,31 a 40,M,Sputnik,Público,414,0,,0.0
9731,19JUL2021:00:00:00,41 a 50,M,AstraZeneca,Privado,0,3,,0.0
9732,19JUL2021:00:00:00,41 a 50,M,AstraZeneca,Público,227,3,,0.0
9733,19JUL2021:00:00:00,41 a 50,M,AstraZeneca,Público nacional,0,2,,0.0
9734,19JUL2021:00:00:00,41 a 50,M,Sinopharm,Público,32,10528,,1.0
9735,19JUL2021:00:00:00,41 a 50,M,Sputnik,Público,66,1,,0.0
9742,19JUL2021:00:00:00,51 a 60,M,AstraZeneca,Privado,1,0,,0.0
9743,19JUL2021:00:00:00,51 a 60,M,AstraZeneca,Público,132,4,,0.0
9744,19JUL2021:00:00:00,51 a 60,M,Sinopharm,Público,19,922,,0.0
9745,19JUL2021:00:00:00,51 a 60,M,Sputnik,Público,31,1,,0.0
9751,19JUL2021:00:00:00,61 a 70,M,AstraZeneca,Privado,0,3,,0.0
9752,19JUL2021:00:00:00,61 a 70,M,AstraZeneca,Público,36,16,,0.0
9753,01JUL2021:00:00:00,30 o menos,M,AstraZeneca,Privado,7,2,,0.0
9754,01JUL2021:00:00:00,30 o menos,M,AstraZeneca,Público,39,9,,0.0
9755,01JUL2021:00:00:00,30 o menos,M,Sinopharm,Público,21,1,,0.0
9756,01JUL2021:00:00:00,30 o menos,M,Sputnik,Privado,5,0,,0.0
9757,01JUL2021:00:00:00,30 o menos,M,Sputnik,Público,41,1,,0.0
9763,01JUL2021:00:00:00,31 a 40,M,AstraZeneca,Privado,5,6,,0.0
9764,01JUL2021:00:00:00,31 a 40,M,AstraZeneca,Público,4230,9,,0.0
9765,01JUL2021:00:00:00,31 a 40,M,Sinopharm,Público,401,0,,0.0
9766,01JUL2021:00:00:00,31 a 40,M,Sputnik,Privado,9,0,,0.0
9767,01JUL2021:00:00:00,31 a 40,M,Sputnik,Público,175,6,,0.0
9773,01JUL2021:00:00:00,41 a 50,M,AstraZeneca,Privado,4,1,,0.0
9774,01JUL2021:00:00:00,41 a 50,M,AstraZeneca,Público,5114,23,,0.0
9775,01JUL2021:00:00:00,41 a 50,M,Sinopharm,Público,303,2,,0.0
9776,01JUL2021:00:00:00,41 a 50,M,Sputnik,Público,115,0,,0.0
9782,01JUL2021:00:00:00,51 a 60,M,AstraZeneca,Privado,1,2,,0.0
9783,01JUL2021:00:00:00,51 a 60,M,AstraZeneca,Público,574,281,,0.0
9784,01JUL2021:00:00:00,51 a 60,M,Sinopharm,Público,84,0,,0.0
9785,01JUL2021:00:00:00,51 a 60,M,Sputnik,Público,20,2,,0.0
9790,01JUL2021:00:00:00,61 a 70,M,AstraZeneca,Privado,0,252,,0.0
9791,01JUL2021:00:00:00,61 a 70,M,AstraZeneca,Público,145,385,,0.0
9792,01JUL2021:00:00:00,61 a 70,M,Sinopharm,Público,21,2,,0.0
9793,01JUL2021:00:00:00,61 a 70,M,Sputnik,Público,7,0,,0.0
9798,01JUL2021:00:00:00,71 a 80,M,AstraZeneca,Privado,1,11,,0.0
9799,01JUL2021:00:00:00,71 a 80,M,AstraZeneca,Público,33,299,,0.0
9800,01JUL2021:00:00:00,71 a 80,M,Sinopharm,Privado,0,1,,0.0
9801,01JUL2021:00:00:00,71 a 80,M,Sinopharm,Público,7,2,,0.0
9802,01JUL2021:00:00:00,71 a 80,M,Sputnik,Público,1,3,,0.0
9807,01JUL2021:00:00:00,81 a 90,M,AstraZeneca,Privado,0,7,,0.0
9808,01JUL2021:00:00:00,81 a 90,M,AstraZeneca,Público,7,112,,0.0
9809,01JUL2021:00:00:00,81 a 90,M,Sinopharm,Público,11,0,,0.0
9810,01JUL2021:00:00:00,81 a 90,M,Sputnik,Público,1,3,,0.0
9814,01JUL2021:00:00:00,91 o mas,M,AstraZeneca,Privado,0,1,,0.0
9815,01JUL2021:00:00:00,91 o mas,M,AstraZeneca,Público,3,18,,0.0
9816,01JUL2021:00:00:00,91 o mas,M,Sinopharm,Público,3,0,,0.0
9817,01JUL2021:00:00:00,91 o mas,M,Sputnik,Público,0,1,,0.0
9822,02JUL2021:00:00:00,30 o menos,M,AstraZeneca,Privado,0,1,,0.0
9823,02JUL2021:00:00:00,30 o menos,M,AstraZeneca,Público,50,12,,0.0
9824,02JUL2021:00:00:00,30 o menos,M,Sinopharm,Público,16,5,,0.0
9825,02JUL2021:00:00:00,30 o menos,M,Sputnik,Público,481,26,,0.0
9830,02JUL2021:00:00:00,31 a 40,M,AstraZeneca,Privado,1,6,,0.0
9831,02JUL2021:00:00:00,31 a 40,M,AstraZeneca,Público,864,10,,0.0
9832,02JUL2021:00:00:00,31 a 40,M,Sinopharm,Público,26,11,,0.0
9833,02JUL2021:00:00:00,31 a 40,M,Sputnik,Público,1411,29,,0.0
9839,02JUL2021:00:00:00,41 a 50,M,AstraZeneca,Privado,2,9,,0.0
9840,02JUL2021:00:00:00,41 a 50,M,AstraZeneca,Público,1346,12,,0.0
9841,02JUL2021:00:00:00,41 a 50,M,Sinopharm,Público,85,3,,0.0
9842,02JUL2021:00:00:00,41 a 50,M,Sputnik,Público,36,37,,0.0
9847,02JUL2021:00:00:00,51 a 60,M,AstraZeneca,Privado,0,22,,0.0
9848,02JUL2021:00:00:00,51 a 60,M,AstraZeneca,Público,204,14,,0.0
9854,05JUL2021:00:00:00,51 a 60,M,AstraZeneca,Público,64,7,,0.0
9855,05JUL2021:00:00:00,51 a 60,M,Sinopharm,Público,19,0,,0.0
9856,05JUL2021:00:00:00,51 a 60,M,Sputnik,Privado,0,4,,0.0
9857,05JUL2021:00:00:00,51 a 60,M,Sputnik,Público,0,8,,0.0
9858,05JUL2021:00:00:00,51 a 60,M,Sputnik,Público nacional,0,37,,0.0
9865,05JUL2021:00:00:00,61 a 70,M,AstraZeneca,Privado,0,221,,0.0
9866,05JUL2021:00:00:00,61 a 70,M,AstraZeneca,Público,23,11,,0.0
9867,05JUL2021:00:00:00,61 a 70,M,Sputnik,Privado,0,6,,0.0
9868,05JUL2021:00:00:00,61 a 70,M,Sputnik,Público,1,16,,0.0
9869,05JUL2021:00:00:00,61 a 70,M,Sputnik,Público nacional,0,44,,0.0
9876,05JUL2021:00:00:00,71 a 80,M,AstraZeneca,Privado,0,34,,0.0
9877,05JUL2021:00:00:00,71 a 80,M,AstraZeneca,Público,8,25,,0.0
9878,05JUL2021:00:00:00,71 a 80,M,Sinopharm,Público,3,2,,0.0
9879,05JUL2021:00:00:00,71 a 80,M,Sputnik,Privado,0,99,,0.0
9880,05JUL2021:00:00:00,71 a 80,M,Sputnik,Público,0,55,,0.0
9881,05JUL2021:00:00:00,71 a 80,M,Sputnik,Público nacional,0,14,,0.0
9888,05JUL2021:00:00:00,81 a 90,M,AstraZeneca,Privado,0,4,,0.0
9889,05JUL2021:00:00:00,81 a 90,M,AstraZeneca,Público,1,24,,0.0
9890,05JUL2021:00:00:00,81 a 90,M,Sinopharm,Público,3,0,,0.0
9891,05JUL2021:00:00:00,81 a 90,M,Sputnik,Privado,0,135,,0.0
9892,05JUL2021:00:00:00,81 a 90,M,Sputnik,Público,0,114,,0.0
9893,05JUL2021:00:00:00,81 a 90,M,Sputnik,Público nacional,0,1,,0.0
9899,05JUL2021:00:00:00,91 o mas,M,AstraZeneca,Público,0,8,,0.0
9900,05JUL2021:00:00:00,91 o mas,M,Sinopharm,Público,2,0,,0.0
9901,05JUL2021:00:00:00,91 o mas,M,Sputnik,Privado,0,14,,0.0
9902,05JUL2021:00:00:00,91 o mas,M,Sputnik,Público,0,19,,0.0
9907,06JUL2021:00:00:00,30 o menos,M,AstraZeneca,Público,108,2,,0.0
9908,06JUL2021:00:00:00,30 o menos,M,Sinopharm,Público,8,0,,0.0
9909,06JUL2021:00:00:00,30 o menos,M,Sputnik,Público,311,0,,0.0
9910,06JUL2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,7,,0.0
9918,06JUL2021:00:00:00,31 a 40,M,AstraZeneca,Privado,1,0,,0.0
9919,06JUL2021:00:00:00,31 a 40,M,AstraZeneca,Público,737,3,,0.0
9920,06JUL2021:00:00:00,31 a 40,M,Sinopharm,Público,11,1,,0.0
9921,06JUL2021:00:00:00,31 a 40,M,Sputnik,Privado,2,5,,0.0
9922,06JUL2021:00:00:00,31 a 40,M,Sputnik,Público,10849,3,,0.0
9923,06JUL2021:00:00:00,31 a 40,M,Sputnik,Público nacional,2,27,,0.0
9931,06JUL2021:00:00:00,41 a 50,M,AstraZeneca,Público,65,3,,0.0
9932,06JUL2021:00:00:00,41 a 50,M,Sinopharm,Público,7,4,,0.0
9933,06JUL2021:00:00:00,41 a 50,M,Sputnik,Privado,1,5,,0.0
9934,06JUL2021:00:00:00,41 a 50,M,Sputnik,Público,147,3,,0.0
9935,06JUL2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,45,,0.0
9942,06JUL2021:00:00:00,51 a 60,M,AstraZeneca,Privado,0,1,,0.0
9943,06JUL2021:00:00:00,51 a 60,M,AstraZeneca,Público,36,8,,0.0
9944,06JUL2021:00:00:00,51 a 60,M,AstraZeneca,Público nacional,1,0,,0.0
9945,06JUL2021:00:00:00,51 a 60,M,Sinopharm,Público,12,3,,0.0
9946,06JUL2021:00:00:00,51 a 60,M,Sputnik,Privado,0,4,,0.0
9947,06JUL2021:00:00:00,51 a 60,M,Sputnik,Público,75,3,,0.0
9948,06JUL2021:00:00:00,51 a 60,M,Sputnik,Público nacional,0,51,,0.0
9955,06JUL2021:00:00:00,61 a 70,M,AstraZeneca,Privado,0,8,,0.0
9956,06JUL2021:00:00:00,61 a 70,M,AstraZeneca,Público,9,65,,0.0
9957,06JUL2021:00:00:00,61 a 70,M,Sinopharm,Público,1,2,,0.0
9958,06JUL2021:00:00:00,61 a 70,M,Sputnik,Privado,0,7,,0.0
9959,06JUL2021:00:00:00,61 a 70,M,Sputnik,Público,37,1,,0.0
9960,06JUL2021:00:00:00,61 a 70,M,Sputnik,Público nacional,0,52,,0.0
9967,06JUL2021:00:00:00,71 a 80,M,AstraZeneca,Público,4,34,,0.0
9968,06JUL2021:00:00:00,71 a 80,M,Sinopharm,Público,0,3,,0.0
9969,06JUL2021:00:00:00,71 a 80,M,Sputnik,Privado,0,40,,0.0
9970,06JUL2021:00:00:00,71 a 80,M,Sputnik,Público,13,4,,0.0
9971,06JUL2021:00:00:00,71 a 80,M,Sputnik,Público nacional,0,9,,0.0
9978,06JUL2021:00:00:00,81 a 90,M,AstraZeneca,Privado,0,2,,0.0
9983,30JUN2021:00:00:00,61 a 70,M,AstraZeneca,Privado,0,992,,0.0
9984,30JUN2021:00:00:00,61 a 70,M,AstraZeneca,Público,102,21,,0.0
9985,30JUN2021:00:00:00,61 a 70,M,Sinopharm,Público,57,2,,0.0
9986,30JUN2021:00:00:00,61 a 70,M,Sputnik,Público,1,0,,0.0
9993,30JUN2021:00:00:00,71 a 80,M,AstraZeneca,Privado,0,49,,0.0
9994,30JUN2021:00:00:00,71 a 80,M,AstraZeneca,Público,15,20,,0.0
9995,30JUN2021:00:00:00,71 a 80,M,Sinopharm,Público,17,4,,0.0
9996,30JUN2021:00:00:00,71 a 80,M,Sputnik,Público,0,1,,0.0
10002,30JUN2021:00:00:00,81 a 90,M,AstraZeneca,Privado,0,11,,0.0
10003,30JUN2021:00:00:00,81 a 90,M,AstraZeneca,Público,3,13,,0.0
10004,30JUN2021:00:00:00,81 a 90,M,Sinopharm,Público,6,2,,0.0
10005,30JUN2021:00:00:00,81 a 90,M,Sputnik,Privado,0,2,,0.0
10006,30JUN2021:00:00:00,81 a 90,M,Sputnik,Público,0,2,,0.0
10010,30JUN2021:00:00:00,91 o mas,M,AstraZeneca,Privado,0,1,,0.0
10011,30JUN2021:00:00:00,91 o mas,M,AstraZeneca,Público,3,4,,0.0
10012,30JUN2021:00:00:00,91 o mas,M,Sinopharm,Público,2,0,,0.0
10013,30JUN2021:00:00:00,91 o mas,M,Sputnik,Público,0,1,,0.0
10022,24JUN2021:00:00:00,30 o menos,M,AstraZeneca,Público,40,42,,0.0
10023,24JUN2021:00:00:00,30 o menos,M,Sinopharm,Privado,1,0,,0.0
10024,24JUN2021:00:00:00,30 o menos,M,Sinopharm,Público,103,1,,0.0
10025,24JUN2021:00:00:00,30 o menos,M,Sputnik,Público,24,0,,0.0
10029,24JUN2021:00:00:00,31 a 40,M,AstraZeneca,Público,62,78,,0.0
10030,24JUN2021:00:00:00,31 a 40,M,Sinopharm,Público,482,1,,0.0
10031,24JUN2021:00:00:00,31 a 40,M,Sputnik,Público,29,0,,0.0
10036,24JUN2021:00:00:00,41 a 50,M,AstraZeneca,Público,1497,48,,0.0
10037,24JUN2021:00:00:00,41 a 50,M,Sinopharm,Privado,2,0,,0.0
10038,24JUN2021:00:00:00,41 a 50,M,Sinopharm,Público,11530,0,,0.0
10039,24JUN2021:00:00:00,41 a 50,M,Sputnik,Público,26,0,,0.0
10040,24JUN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,1,0,,0.0
10044,24JUN2021:00:00:00,51 a 60,M,AstraZeneca,Público,193,89,,0.0
10045,24JUN2021:00:00:00,51 a 60,M,Sinopharm,Público,767,0,,0.0
10046,24JUN2021:00:00:00,51 a 60,M,Sputnik,Público,36,0,,0.0
10050,24JUN2021:00:00:00,61 a 70,M,AstraZeneca,Público,26,71,,0.0
10051,24JUN2021:00:00:00,61 a 70,M,Sinopharm,Público,128,0,,0.0
10052,24JUN2021:00:00:00,61 a 70,M,Sputnik,Público,4,2,,0.0
10056,24JUN2021:00:00:00,71 a 80,M,AstraZeneca,Público,8,89,,1.0
10057,24JUN2021:00:00:00,71 a 80,M,Sinopharm,Público,26,4,,0.0
10061,24JUN2021:00:00:00,81 a 90,M,AstraZeneca,Público,2,22,,0.0
10062,24JUN2021:00:00:00,81 a 90,M,Sinopharm,Público,9,0,,0.0
10066,24JUN2021:00:00:00,91 o mas,M,AstraZeneca,Público,0,3,,0.0
10067,24JUN2021:00:00:00,91 o mas,M,Sinopharm,Público,2,0,,0.0
10071,25JUN2021:00:00:00,30 o menos,M,AstraZeneca,Privado,1,1,,0.0
10072,25JUN2021:00:00:00,30 o menos,M,AstraZeneca,Público,152,14,,0.0
10073,25JUN2021:00:00:00,30 o menos,M,Sinopharm,Público,67,0,,0.0
10074,25JUN2021:00:00:00,30 o menos,M,Sputnik,Público,166,2,,0.0
10082,25JUN2021:00:00:00,31 a 40,M,AstraZeneca,Privado,2,2,,0.0
10083,25JUN2021:00:00:00,31 a 40,M,AstraZeneca,Público,203,5,,0.0
10084,25JUN2021:00:00:00,31 a 40,M,Sinopharm,Público,242,0,,0.0
10085,25JUN2021:00:00:00,31 a 40,M,Sputnik,Privado,4,0,,0.0
10086,25JUN2021:00:00:00,31 a 40,M,Sputnik,Público,262,4,,0.0
10087,25JUN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,1,0,,0.0
10094,25JUN2021:00:00:00,41 a 50,M,AstraZeneca,Privado,1,2,,0.0
10095,25JUN2021:00:00:00,41 a 50,M,AstraZeneca,Público,3280,16,,0.0
10096,25JUN2021:00:00:00,41 a 50,M,AstraZeneca,Público nacional,7,0,,0.0
10097,25JUN2021:00:00:00,41 a 50,M,Sinopharm,Público,1426,0,,1.0
10098,25JUN2021:00:00:00,41 a 50,M,Sputnik,Privado,1,0,,0.0
10099,25JUN2021:00:00:00,41 a 50,M,Sputnik,Público,102,6,,0.0
10100,25JUN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,0,2,,0.0
10108,25JUN2021:00:00:00,51 a 60,M,AstraZeneca,Privado,1,4,,0.0
10109,25JUN2021:00:00:00,51 a 60,M,AstraZeneca,Público,610,127,,0.0
10110,25JUN2021:00:00:00,51 a 60,M,AstraZeneca,Público nacional,1,0,,0.0
10111,25JUN2021:00:00:00,51 a 60,M,Sinopharm,Público,187,1,,0.0
10112,25JUN2021:00:00:00,51 a 60,M,Sputnik,Privado,3,0,,0.0
10113,25JUN2021:00:00:00,51 a 60,M,Sputnik,Público,41,4,,0.0
10121,25JUN2021:00:00:00,61 a 70,M,AstraZeneca,Privado,0,147,,0.0
10122,25JUN2021:00:00:00,61 a 70,M,AstraZeneca,Público,192,4166,,0.0
10123,25JUN2021:00:00:00,61 a 70,M,Sinopharm,Privado,0,3,,0.0
10124,25JUN2021:00:00:00,61 a 70,M,Sinopharm,Público,61,0,,0.0
10125,25JUN2021:00:00:00,61 a 70,M,Sputnik,Privado,0,1,,0.0
10126,25JUN2021:00:00:00,61 a 70,M,Sputnik,Público,8,0,,0.0
10133,25JUN2021:00:00:00,71 a 80,M,AstraZeneca,Privado,1,2,,0.0
10134,25JUN2021:00:00:00,71 a 80,M,AstraZeneca,Público,43,1117,,0.0
10135,25JUN2021:00:00:00,71 a 80,M,Sinopharm,Privado,0,1,,0.0
10136,25JUN2021:00:00:00,71 a 80,M,Sinopharm,Público,11,3,,0.0
10137,25JUN2021:00:00:00,71 a 80,M,Sputnik,Público,1,0,,0.0
10142,25JUN2021:00:00:00,81 a 90,M,AstraZeneca,Privado,0,8,,0.0
10143,25JUN2021:00:00:00,81 a 90,M,AstraZeneca,Público,2,175,,1.0
10144,25JUN2021:00:00:00,81 a 90,M,Sinopharm,Público,2,1,,0.0
10145,25JUN2021:00:00:00,81 a 90,M,Sputnik,Privado,0,2,,0.0
10146,25JUN2021:00:00:00,81 a 90,M,Sputnik,Público,1,0,,0.0
10151,25JUN2021:00:00:00,91 o mas,M,AstraZeneca,Privado,0,2,,0.0
10152,25JUN2021:00:00:00,91 o mas,M,AstraZeneca,Público,1,30,,0.0
10153,25JUN2021:00:00:00,91 o mas,M,Sinopharm,Público,1,0,,0.0
10154,25JUN2021:00:00:00,91 o mas,M,Sputnik,Privado,0,2,,0.0
10159,26JUN2021:00:00:00,30 o menos,M,AstraZeneca,Privado,1,0,,0.0
10160,26JUN2021:00:00:00,30 o menos,M,AstraZeneca,Público,11,27,,0.0
10161,26JUN2021:00:00:00,30 o menos,M,Sinopharm,Público,2,0,,0.0
10166,13JUL2021:00:00:00,61 a 70,M,AstraZeneca,Público,25,6,,0.0
10167,13JUL2021:00:00:00,61 a 70,M,Sinopharm,Público,61,4,,0.0
10168,13JUL2021:00:00:00,61 a 70,M,Sputnik,Público,5,0,,0.0
10172,13JUL2021:00:00:00,71 a 80,M,AstraZeneca,Público,8,12,,0.0
10173,13JUL2021:00:00:00,71 a 80,M,Sinopharm,Público,15,2,,0.0
10174,13JUL2021:00:00:00,71 a 80,M,Sputnik,Público,2,3,,0.0
10178,13JUL2021:00:00:00,81 a 90,M,AstraZeneca,Público,1,8,,0.0
10179,13JUL2021:00:00:00,81 a 90,M,Sinopharm,Público,1,0,,0.0
10180,13JUL2021:00:00:00,81 a 90,M,Sputnik,Público,1,3,,0.0
10184,13JUL2021:00:00:00,91 o mas,M,AstraZeneca,Público,0,6,,0.0
